REPDTE,ASSET,CERT,INTINC,NETINC,NONII,LNLSNET,DEP,NPERFV,ID
20260331,15548303,57038,158135.0,18932.0,20015.0,11153404,13114848,0.5120816078770782,57038_20260331
20260331,15511016,21716,148865.0,52047.0,14373.0,8563146,12002449,0.0409386464432761,21716_20260331
20260331,15317679,3066,182586.0,67785.0,19231.0,8200187,13408107,0.3537807522928245,3066_20260331
20260331,15229819,58665,233676.0,33645.0,25409.0,12400249,13966734,3.38677695381672,58665_20260331
20260331,15126000,25178,135000.0,28000.0,0.0,9731000,12639000,0.4429459209308475,25178_20260331
20260331,14990679,6976,173392.0,36862.0,11349.0,10550477,12667013,0.6346343617924178,6976_20260331
20260331,14953476,34967,198247.0,36965.0,7576.0,11524288,12230655,0.2557799938957337,34967_20260331
20260331,14816488,19581,177312.0,34969.0,55928.0,12664720,12670338,0.8166847636227964,19581_20260331
20260331,14471195,28359,167593.0,26080.0,7277.0,11059275,11249753,0.3119991127201312,28359_20260331
20260331,14200455,57919,184397.0,42023.0,6661.0,11592762,11566509,0.348855019082135,57919_20260331
20260331,13986756,19977,186445.0,26163.0,18507.0,9701948,11938804,1.0390758228712933,19977_20260331
20260331,13442736,29209,153418.0,43633.0,23674.0,9219963,10320176,1.1260133353805355,29209_20260331
20260331,13310873,57570,724586.0,59816.0,71580.0,10042343,10359788,3.089346581550286,57570_20260331
20260331,13025805,57833,165531.0,87629.0,55303.0,4121220,3670887,0.8599391745846033,57833_20260331
20260331,13013553,35141,205350.0,73045.0,28925.0,9798098,8703345,0.0620276414903754,35141_20260331
20260331,12937641,15019,142366.0,48320.0,17741.0,8680271,11028439,0.3228718434836768,15019_20260331
